ar,ma,garch.p,garch.q,AIC,BIC
2,2,3,4,-3.83490852214902,-3.78660750063874
3,4,3,2,-3.83778184756654,-3.78646201221186
0,1,3,4,-3.82568128273619,-3.78643670275908
1,3,3,4,-3.83462197262035,-3.78632095111007
3,1,3,4,-3.83459246957266,-3.78629144806237
3,3,2,4,-3.83449544541106,-3.78619442390077
1,1,3,3,-3.82542525708299,-3.78618067710588
4,2,2,4,-3.83432521265948,-3.7860241911492
1,0,4,4,-3.83125882943546,-3.78597662176957
2,4,2,2,-3.82818998684285,-3.78592659302136
2,4,2,3,-3.83110829845727,-3.78582609079138
0,1,4,4,-3.83101674339056,-3.78573453572467
3,0,4,1,-3.82787636964877,-3.78561297582728
0,3,4,1,-3.82782572050592,-3.78556232668443
4,0,2,3,-3.8247319348051,-3.785487354828
4,0,3,3,-3.83072917776232,-3.78544697009643
3,3,3,2,-3.83370140840264,-3.78540038689236
0,4,3,3,-3.83067662544771,-3.78539441778182
0,2,4,2,-3.82758843520842,-3.78532504138692
1,4,3,3,-3.83362058421002,-3.78531956269973
2,0,4,2,-3.82744417619761,-3.78518078237612
4,1,3,3,-3.83338979001595,-3.78508876850567
4,2,3,2,-3.83305358682366,-3.78475256531338
0,0,4,3,-3.82370780348449,-3.78446322350738
1,1,4,2,-3.82663439546379,-3.7843710016423
0,2,3,4,-3.82649871647234,-3.78423532265084
2,1,4,4,-3.8354783999107,-3.78415856455602
2,0,3,4,-3.82640217112403,-3.78413877730253
4,0,2,4,-3.82629735445891,-3.78403396063741
0,4,2,4,-3.82627164974898,-3.78400825592748
4,4,3,1,-3.83529287393623,-3.78397303858156
2,2,4,3,-3.83525750081303,-3.78393766545835
3,3,4,1,-3.83524667170398,-3.78392683634931
4,4,2,3,-3.83512076602964,-3.78380093067497
1,3,4,3,-3.83503763382229,-3.78371779846762
1,2,4,4,-3.83499933068241,-3.78367949532773
3,1,4,3,-3.83498452795797,-3.7836646926033
1,4,4,2,-3.8348767204524,-3.78355688509772
4,2,4,1,-3.83484303759472,-3.78352320224005
1,1,3,4,-3.82577078961767,-3.78350739579617
3,2,4,2,-3.8348194391373,-3.78349960378263
2,3,4,2,-3.83481758775263,-3.78349775239796
1,0,4,3,-3.82576108015297,-3.78349768633147
0,2,4,4,-3.83175521451616,-3.78345419300588
4,1,4,2,-3.83464985926781,-3.78333002391314
2,0,4,4,-3.83161378619865,-3.78331276468837
2,4,3,1,-3.82859022520119,-3.7833080175353
4,0,3,2,-3.82555292215315,-3.78328952833165
0,4,3,2,-3.82552550466349,-3.783262110842
0,1,4,3,-3.82551522894754,-3.78325183512604
4,3,3,2,-3.8344645651501,-3.78314472979543
1,1,4,4,-3.83098797910201,-3.78268695759173
2,3,3,4,-3.8338259864607,-3.78250615110602
1,4,3,4,-3.83363014592203,-3.78231031056736
0,0,4,4,-3.82456999322106,-3.78230659939956
3,2,3,4,-3.83357760757188,-3.78225777221721
4,1,3,4,-3.83340086859957,-3.78208103324489
4,3,4,1,-3.83632596308609,-3.78198731388702
4,0,4,1,-3.82679403551822,-3.78151182785233
3,0,4,2,-3.82678415218193,-3.78150194451604
0,4,4,1,-3.82674243664707,-3.78146022898118
0,3,4,2,-3.8267345818244,-3.78145237415852
0,2,4,3,-3.82659184738123,-3.78130963971534
2,0,4,3,-3.82644636698938,-3.78116415932349
3,4,4,2,-3.83842020139826,-3.7810627383548
4,4,2,4,-3.83529616844376,-3.78095751924469
4,2,3,3,-3.83210697140502,-3.78078713605034
3,4,4,1,-3.83478170157392,-3.78044305237486
1,1,4,3,-3.82565531506363,-3.78037310739774
3,0,3,4,-3.82556840498337,-3.78028619731748
0,3,3,4,-3.82554033577994,-3.78025812811406
2,2,4,4,-3.83454189832222,-3.78020324912316
2,4,2,4,-3.8283443099938,-3.78004328848352
1,3,4,4,-3.83431523266262,-3.77997658346355
3,1,4,4,-3.83425598888572,-3.77991733968666
3,4,3,3,-3.83423567483757,-3.7798970256385
4,4,3,2,-3.83422362866091,-3.77988497946184
3,4,3,4,-3.83718585122408,-3.77982838818062
3,3,4,2,-3.83415717890819,-3.77981852970912
3,2,4,3,-3.83404307152531,-3.77970442232624
1,4,4,3,-3.83397127941629,-3.77963263021722
2,3,4,3,-3.83393118603402,-3.77959253683495
0,3,4,4,-3.83086007517524,-3.77954023982057
4,1,4,3,-3.83374532952187,-3.7794066803228
4,2,4,2,-3.83368449233834,-3.77934584313927
2,4,3,2,-3.82752369563944,-3.77922267412916
4,3,3,3,-3.83353804604631,-3.77919939684724
2,4,3,3,-3.830423212781,-3.77910337742633
4,4,4,1,-3.83596415900663,-3.77860669596317
3,3,3,4,-3.83272451392074,-3.77838586472167
4,2,3,4,-3.83257693945696,-3.7782382902579
4,3,4,2,-3.83523322459766,-3.7778757615542
3,0,4,4,-3.82915374800915,-3.77783391265448
3,0,4,3,-3.82578382501988,-3.7774828035096
0,3,4,3,-3.82573393956284,-3.77743291805256
4,0,4,2,-3.82570477635006,-3.77740375483978
0,4,4,2,-3.82565307014897,-3.77735204863868
2,4,4,1,-3.82864930739864,-3.77732947204396
4,3,4,3,-3.83767432334304,-3.77729804645519
4,0,3,4,-3.82451829638376,-3.77621727487348
0,4,3,4,-3.82449402286323,-3.77619300135295
2,3,4,4,-3.83326085139903,-3.77590338835557
3,3,4,3,-3.83323249208572,-3.77587502904226
1,4,4,4,-3.83323206995907,-3.77587460691561
3,2,4,4,-3.83319524465053,-3.77583778160707
4,1,4,4,-3.8330045556939,-3.77564709265044
4,0,4,4,-3.8298080137904,-3.77546936459133
0,4,4,4,-3.82976904758491,-3.77543039838584
4,2,4,3,-3.83272106913154,-3.77536360608808
4,4,3,3,-3.83233909123269,-3.77498162818923
4,4,4,2,-3.8348740601438,-3.77449778325595
4,3,3,4,-3.83174499003497,-3.7743875269915
4,3,4,4,-3.83677734091082,-3.77338225017857
4,0,4,3,-3.82469559586859,-3.77337576051391
0,4,4,3,-3.82464616872326,-3.77332633336858
2,4,4,2,-3.82756055030605,-3.77322190110698
3,4,4,4,-3.83661421836597,-3.77321912763373
4,4,3,4,-3.83343657985805,-3.7730603029702
3,4,4,3,-3.83277394126995,-3.7723976643821
2,4,3,4,-3.8266411050444,-3.77230245584534
3,3,4,4,-3.83241504892874,-3.77203877204089
4,2,4,4,-3.83213863560201,-3.77176235871415
4,4,4,3,-3.83398806123405,-3.77059297050181
4,4,4,4,-3.833175605964,-3.76676170138737
2,4,4,3,-3.82301895458013,-3.76566149153667
2,4,4,4,-3.82528559264859,-3.76490931576074
2,1,0,3,-3.76569058101744,-3.7415400702623
1,2,0,3,-3.76506563705167,-3.74091512629653
2,2,0,3,-3.7646448841064,-3.73747555950687
3,1,0,3,-3.76428531771904,-3.7371159931195
1,3,0,3,-3.76419398775294,-3.7370246631534
1,2,0,4,-3.76400117968134,-3.73683185508181
1,0,0,3,-3.75462544453064,-3.73651256146429
0,1,0,3,-3.75424001750504,-3.73612713443868
2,3,0,3,-3.7643128803893,-3.73412474194538
4,1,0,3,-3.76368691016477,-3.73349877172085
3,1,0,4,-3.7636476999675,-3.73345956152357
0,2,0,3,-3.75431704748058,-3.73318535056983
2,0,0,3,-3.75425841705838,-3.73312672014763
0,0,0,3,-3.74808823937082,-3.73299417014886
1,1,0,3,-3.75409243364932,-3.73296073673857
3,3,0,3,-3.76319177686489,-3.72998482457657
0,3,0,3,-3.75348341058205,-3.72933289982691
3,0,0,3,-3.7534373377706,-3.72928682701546
3,4,0,3,-3.76423249316834,-3.72800672703563
3,4,0,4,-3.76656184426012,-3.72731726428301
2,4,0,4,-3.76256120513903,-3.72633543900632
4,4,0,4,-3.76705065545162,-3.72478726163012
1,4,0,3,-3.7476566786998,-3.71746854025587
2,1,0,1,-3.72453026740101,-3.70641738433465
1,2,0,1,-3.72426344964088,-3.70615056657452
1,0,0,1,-3.71444821979974,-3.70237296442217
2,1,0,2,-3.72343593715343,-3.70230424024269
2,2,0,1,-3.72343449355026,-3.70230279663952
3,1,0,1,-3.72336940918084,-3.7022377122701
0,1,0,1,-3.71426725135201,-3.70219199597444
1,3,0,1,-3.72332353559614,-3.70219183868539
1,2,0,2,-3.72316911944561,-3.70203742253486
0,0,0,1,-3.71108977722907,-3.7020333356959
0,2,0,1,-3.71401203204539,-3.69891796282343
2,0,0,1,-3.71396507127533,-3.69887100205337
2,3,0,1,-3.72298481370055,-3.69883430294541
3,2,0,1,-3.72288152999673,-3.69873101924159
1,1,0,1,-3.71366731860055,-3.69857324937859
1,0,0,2,-3.71348938755112,-3.69839531832915
1,4,0,1,-3.72253019120751,-3.69837968045237
4,1,0,1,-3.72243591708201,-3.69828540632686
0,1,0,2,-3.71330823112137,-3.6982141618994
2,2,0,2,-3.72234015155764,-3.6981896408025
3,1,0,2,-3.72227495784616,-3.69812444709102
1,3,0,2,-3.72222908526494,-3.6980785745098
0,0,0,2,-3.7101222436684,-3.69804698829083
2,4,0,1,-3.72357160221439,-3.69640227761485
4,3,0,1,-3.72629440223736,-3.69610626379344
2,4,0,3,-3.72913958538692,-3.6959326330986
2,1,0,4,-3.72278176927453,-3.69561244467499
3,0,0,1,-3.71331190718608,-3.69519902411972
0,3,0,1,-3.71330722754645,-3.6951943444801
0,2,0,2,-3.7129178343452,-3.69480495127885
2,0,0,2,-3.71287087427853,-3.69475799121217
3,3,0,1,-3.72190995908416,-3.69474063448462
2,3,0,2,-3.7218903847531,-3.69472106015357
4,2,0,1,-3.72186369155674,-3.69469436695721
3,2,0,2,-3.72178708374594,-3.6946177591464
1,1,0,2,-3.71270756028145,-3.69459467721509
1,4,0,2,-3.72143560010418,-3.69426627550464
4,1,0,2,-3.72134133310812,-3.69417200850858
3,4,0,1,-3.72399018598356,-3.69380204753963
1,0,0,4,-3.71291457064113,-3.69178287373038
4,0,0,1,-3.71274490988882,-3.69161321297808
0,4,0,1,-3.71269767990705,-3.69156598299631
3,0,0,2,-3.71221753300463,-3.69108583609388
0,3,0,2,-3.71221287306668,-3.69108117615593
1,1,0,4,-3.71503313665953,-3.69088262590439
2,4,0,2,-3.72090064343049,-3.69071250498656
3,3,0,2,-3.72081552319735,-3.69062738475342
4,2,0,2,-3.72076893623218,-3.69058079778825
3,2,0,3,-3.71992106499435,-3.68973292655042
4,3,0,2,-3.72290799002415,-3.68970103773583
4,4,0,1,-3.72290671244944,-3.68969976016112
3,4,0,2,-3.72289558035608,-3.68968862806776
0,2,0,4,-3.71235713256433,-3.68820662180919
