ar,ma,garch.p,garch.q,AIC,BIC
1,4,4,4,-3.8199601696515,-3.77769677583
3,3,4,3,-3.81991082929641,-3.77764743547491
4,3,3,4,-3.82282413255611,-3.77754192489022
4,0,3,3,-3.81070158432927,-3.77749463204095
4,1,4,4,-3.8197575930393,-3.7774941992178
0,4,3,3,-3.8106086823629,-3.77740173007458
4,2,4,3,-3.81964027440085,-3.77737688057936
4,0,2,4,-3.81049115469649,-3.77728420240817
0,4,2,4,-3.81040367158492,-3.7771967192966
4,4,2,3,-3.81925598324466,-3.77699258942316
3,4,3,4,-3.82219965882772,-3.77691745116184
4,4,3,2,-3.81888429282582,-3.77662089900432
3,3,3,4,-3.81798808828212,-3.77572469446062
3,0,4,4,-3.81191131240122,-3.77568554626851
0,3,4,4,-3.81185408383545,-3.77562831770274
4,0,4,3,-3.81179084492854,-3.77556507879583
4,2,3,4,-3.81774903562382,-3.77548564180232
0,4,4,3,-3.81170066521525,-3.77547489908254
4,4,4,2,-3.8204296098451,-3.77514740217921
4,3,4,4,-3.82333563453149,-3.77503461302121
3,4,4,4,-3.82294234204561,-3.77464132053533
4,4,2,4,-3.81964629848427,-3.77436409081838
3,3,4,4,-3.81916794766456,-3.77388573999867
4,0,3,4,-3.80999535349364,-3.77376958736093
0,4,3,4,-3.80989931232907,-3.77367354619636
4,4,3,3,-3.81895376056244,-3.77367155289655
4,2,4,4,-3.81875245710683,-3.77347024944094
4,4,4,3,-3.82039733522211,-3.77209631371183
4,0,4,4,-3.81086941955593,-3.77162483957882
0,4,4,4,-3.81077924691034,-3.77153466693324
4,4,4,4,-3.81950595837638,-3.76818612302171
7,10,1,1,-3.82622608444272,-3.76584980755487
7,10,1,2,-3.82589394442755,-3.76249885369531
7,10,2,1,-3.82494047808412,-3.76154538735188
7,10,1,3,-3.82568829077971,-3.75927438620307
7,10,2,2,-3.82479805225408,-3.75838414767744
7,10,3,1,-3.82430585194459,-3.75789194736795
7,10,1,4,-3.82579403862583,-3.7563613202048
7,10,4,1,-3.82540502043308,-3.75597230201205
7,10,2,4,-3.82814336927747,-3.75569183701204
7,10,2,3,-3.82465583034156,-3.75522311192053
7,10,3,2,-3.82432154999327,-3.75488883157224
7,10,4,2,-3.82581405880401,-3.75336252653859
7,10,3,3,-3.82397123094385,-3.75151969867842
7,10,3,4,-3.82599054878922,-3.75052020267941
7,10,4,3,-3.82495211258102,-3.7494817664712
7,10,4,4,-3.824048341122,-3.74555918116779
2,1,0,1,-3.70232805187692,-3.68723398265496
1,2,0,1,-3.70198881295204,-3.68689474373008
0,0,0,1,-3.69196382590469,-3.6859261982159
1,0,0,1,-3.69449307505423,-3.68543663352105
0,1,0,1,-3.69429367398577,-3.6852372324526
2,2,0,1,-3.70137073073631,-3.68325784766996
2,1,0,2,-3.70123363907207,-3.68312075600571
3,1,0,1,-3.70114609267856,-3.6830332096122
1,2,0,2,-3.70089708838133,-3.68278420531498
0,2,0,1,-3.69434217752869,-3.68226692215112
2,0,0,1,-3.69429770814331,-3.68222245276574
1,1,0,1,-3.69405045874966,-3.68197520337209
